Date,Open,High,Low,Close,Volume,Crypto
2022-09-10 00:00:00+00:00,18433.140625,18768.12890625,18257.916015625,18699.357421875,31837915228,BTC-GBP
2022-09-11 00:00:00+00:00,18697.634765625,18735.32421875,18463.3828125,18734.208984375,29684839675,BTC-GBP
2022-09-12 00:00:00+00:00,18734.9765625,19167.166015625,18611.04296875,19137.29296875,42955036171,BTC-GBP
2022-09-13 00:00:00+00:00,19138.17578125,19339.33984375,17456.228515625,17645.267578125,44416879693,BTC-GBP
2022-09-14 00:00:00+00:00,17547.765625,17787.369140625,17141.517578125,17533.197265625,32805738029,BTC-GBP
2022-09-15 00:00:00+00:00,17534.236328125,17630.376953125,17081.033203125,17203.509765625,31775649014,BTC-GBP
2022-09-16 00:00:00+00:00,17205.951171875,17433.060546875,17016.931640625,17322.345703125,26390445097,BTC-GBP
2022-09-17 00:00:00+00:00,17326.244140625,17663.990234375,17326.244140625,17633.3671875,21864721132,BTC-GBP
2022-09-18 00:00:00+00:00,17633.06640625,17633.06640625,16977.8984375,16983.54296875,27334210903,BTC-GBP
2022-09-19 00:00:00+00:00,16982.724609375,17171.837890625,16142.359375,17076.7421875,35104776573,BTC-GBP
2022-09-20 00:00:00+00:00,17078.01953125,17111.259765625,16558.0234375,16598.90234375,32327709976,BTC-GBP
2022-09-21 00:00:00+00:00,16599.3359375,17374.82421875,16226.1435546875,16475.765625,41185236370,BTC-GBP
2022-09-22 00:00:00+00:00,16464.44140625,17281.23828125,16401.791015625,17236.904296875,36523625626,BTC-GBP
2022-09-23 00:00:00+00:00,17235.880859375,17327.12109375,16985.146484375,17794.04296875,35865451235,BTC-GBP
2022-09-24 00:00:00+00:00,17793.447265625,17783.494140625,17370.708984375,17439.8125,24082200080,BTC-GBP
2022-09-25 00:00:00+00:00,17439.16796875,17621.90234375,17305.33984375,17420.8203125,21643849562,BTC-GBP
2022-09-26 00:00:00+00:00,17422.490234375,17884.7109375,17571.966796875,17854.076171875,41005536327,BTC-GBP
2022-09-27 00:00:00+00:00,17853.302734375,18856.716796875,17695.154296875,17816.11328125,54604161728,BTC-GBP
2022-09-28 00:00:00+00:00,17810.587890625,18085.595703125,17418.484375,17935.642578125,48997864271,BTC-GBP
2022-09-29 00:00:00+00:00,17936.62109375,18123.185546875,17278.3515625,17519.54296875,36732358392,BTC-GBP
2022-09-30 00:00:00+00:00,17519.884765625,18000.326171875,17381.654296875,17392.51953125,39360265674,BTC-GBP
2022-10-01 00:00:00+00:00,17391.908203125,17462.919921875,17247.607421875,17320.263671875,16788823274,BTC-GBP
2022-10-02 00:00:00+00:00,17320.04296875,17372.474609375,17030.533203125,17101.98828125,18648243203,BTC-GBP
2022-10-03 00:00:00+00:00,17101.953125,17351.3671875,17109.65234375,17307.193359375,26886281535,BTC-GBP
2022-10-04 00:00:00+00:00,17307.197265625,17760.451171875,17302.14453125,17759.7578125,31339642730,BTC-GBP
2022-10-05 00:00:00+00:00,17758.93359375,17766.58203125,17565.603515625,17752.134765625,29254577536,BTC-GBP
2022-10-06 00:00:00+00:00,17752.419921875,17968.58984375,17831.892578125,17878.939453125,31099447467,BTC-GBP
2022-10-07 00:00:00+00:00,17880.8359375,17912.841796875,17478.595703125,17618.826171875,26344449909,BTC-GBP
2022-10-08 00:00:00+00:00,17618.357421875,17668.26171875,17408.033203125,17513.705078125,14826522822,BTC-GBP
2022-10-09 00:00:00+00:00,17514.52734375,17627.330078125,17452.9921875,17561.5234375,15205260350,BTC-GBP
2022-10-10 00:00:00+00:00,17561.513671875,17570.84765625,17271.1953125,17276.43359375,24752865680,BTC-GBP
2022-10-11 00:00:00+00:00,17274.19140625,17332.79296875,17121.8984375,17376.341796875,26187100091,BTC-GBP
2022-10-12 00:00:00+00:00,17377.4609375,17298.029296875,17238.505859375,17257.947265625,22476314209,BTC-GBP
2022-10-13 00:00:00+00:00,17257.515625,17178.98046875,16413.8828125,17150.57421875,39127041031,BTC-GBP
2022-10-14 00:00:00+00:00,17150.248046875,17522.556640625,17097.31640625,17173.751953125,34420050339,BTC-GBP
